ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
457008,0.38424644896404736,0.13443254897446025,Conaway,Democrat,centrist Democratic follower,14,207,70,87
456971,0.3527756370107463,0.2608736862503515,Figures,Democrat,moderate Democratic follower,20,314,121,217
456979,0.30481453577211803,0.33240931016712494,Friedman,Democrat,rank-and-file Democrat,10,302,183,245
457010,0.515462166161015,0.21867015526360997,Gillen,Democrat,centrist Democratic follower,17,273,118,151
456975,0.4497735120674812,0.2515760761036745,Gray,Democrat,centrist Democratic follower,7,141,143,155
457009,0.3846340365628903,0.08250853949015088,Pou,Democrat,centrist Democratic follower,12,205,37,44
456977,0.3972580822507442,0.08873359306020837,Whitesides,Democrat,centrist Democratic follower,11,251,40,43
456970,0.5532778679253947,0.16240109557929186,Begich,Republican,centrist Republican follower ,36,187,66,91
456973,0.588547817167648,0.3348809344940191,Hamadeh,Republican,rank-and-file Republican,27,240,126,223
456999,0.4456581875868141,0.05173517406669231,King-Hinds,Republican,centrist Republican follower ,15,129,24,45
412392,0.5335890962788462,0.0908473256873324,Stutzman,Republican,centrist Republican follower ,14,136,34,37
457041,0.453350529196417,0.033130300049634735,Fuller,Republican,centrist Republican follower ,5,52,10,12
457013,0.3707138866596344,0.11454560093253253,Mannion,Democrat,centrist Democratic follower,8,266,56,59
457023,0.6359893623434297,0.42782318055883883,Gill,Republican,rank-and-file Republican,21,313,140,312
457016,0.4049311543586434,0.19029898833099626,Bynum,Democrat,centrist Democratic follower,21,316,95,128
457039,0.36010058453936256,0.023015627905176087,Menefee,Democrat,moderate Democratic follower,3,65,10,10
457029,0.5349207110315864,0.16911189957993736,Baumgartner,Republican,centrist Republican follower ,19,173,65,84
457034,0.5033325738974442,0.1293204745958322,Patronis,Republican,centrist Republican follower ,16,93,45,55
457020,0.6232529706641771,0.2608212021527804,Biggs [SC3],Republican,moderate Republican follower,13,259,93,162
457018,0.5267466253859047,0.23120129591300337,Bresnahan,Republican,centrist Republican follower ,19,289,107,145
456983,0.5264209926783677,0.05478596384471567,Crank,Republican,centrist Republican follower ,7,126,21,26
456984,0.5509722458215404,0.11375696705375028,Evans [CO8],Republican,centrist Republican follower ,21,216,43,68
457003,0.6278182383244982,0.27483020182117923,Harrigan,Republican,rank-and-file Republican,22,278,109,176
457002,0.5764920218543477,0.3096817269502388,Harris [NC8],Republican,centrist Republican,14,194,86,200
456987,0.5164142981455138,0.12756746647544978,Jack,Republican,centrist Republican follower ,8,112,50,53
457017,0.5178565675539327,0.10149322979613458,Mackenzie,Republican,centrist Republican follower ,23,222,39,43
456989,0.587982750236556,0.30495044792606907,Messmer,Republican,rank-and-file Republican,15,200,114,161
456990,0.6129365096137581,0.04315383021241221,Schmidt,Republican,moderate Republican follower,16,298,13,20
457035,0.5444148943331907,0.2800073464942664,Fine,Republican,centrist Republican,29,182,88,161
456994,0.5470024351596476,0.1646108519326005,Barrett,Republican,centrist Republican follower ,41,184,62,88
457004,0.48548615450592963,0.1772222957551638,Knott,Republican,centrist Republican follower ,4,73,62,69
457038,0.4636147067318505,0.04955095333889655,Van Epps,Republican,centrist Republican follower ,5,56,23,23
456998,0.5412530899218383,0.3644471715814571,Onder,Republican,centrist Republican,17,148,137,218
457022,0.37225053286154497,0.07230801717262385,Turner [TX18],Democrat,centrist Democratic follower,2,49,34,34
457025,0.5119630717100273,0.22608425008553362,Kennedy [UT3],Republican,centrist Republican follower ,36,134,78,118
457043,0.4022185587414186,0.01352571223098048,Gallagher,Republican,centrist Republican follower ,0,0,0,0
