fips,state,district_ids,margin,competitive,p1_data_tier,margin_stale,source,vintage
22069,LA,,-35.369,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22071,LA,,51.53,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22073,LA,,-43.335,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22075,LA,,-54.84,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22077,LA,,-38.382,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22079,LA,,-49.728,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22081,LA,,-40.262,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22083,LA,,-52.272,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22085,LA,,-77.545,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22087,LA,,-52.11,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22089,LA,,-43.317,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22091,LA,,-7.44,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22093,LA,,-13.682,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22095,LA,,13.302,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
22097,LA,,-29.189,False,gubernatorial,False,LA 2023 gubernatorial open primary (Oct 14); official LA SoS Excel Multi-Parish(Parish) sheet; margin=(sumDEM-sumREP)/total,2023
