member_id,member_name,state,party,chamber,district,vote_id,vote_name,congress,vote_position,is_pro_labor,is_not_voting
B000574,Blumenauer,OR,D,house,03,pro_act_117,PRO Act,117,yes,True,False
B001303,Blunt Rochester,DE,D,house,00,pro_act_117,PRO Act,117,yes,True,False
B000825,Boebert,CO,R,house,04,pro_act_117,PRO Act,117,no,False,False
B001278,Bonamici,OR,D,house,01,pro_act_117,PRO Act,117,yes,True,False
B001295,Bost,IL,R,house,12,pro_act_117,PRO Act,117,no,False,False
B001312,Bourdeaux,GA,D,house,07,pro_act_117,PRO Act,117,yes,True,False
B001223,Bowman,NY,D,house,16,pro_act_117,PRO Act,117,yes,True,False
B001296,"Boyle, Brendan F.",PA,D,house,02,pro_act_117,PRO Act,117,yes,True,False
B000755,Brady,TX,R,house,08,pro_act_117,PRO Act,117,no,False,False
B001274,Brooks,AL,R,house,05,pro_act_117,PRO Act,117,no,False,False
B001304,Brown,MD,D,house,04,pro_act_117,PRO Act,117,yes,True,False
B001285,Brownley,CA,D,house,26,pro_act_117,PRO Act,117,yes,True,False
B001260,Buchanan,FL,R,house,16,pro_act_117,PRO Act,117,no,False,False
B001297,Buck,CO,R,house,04,pro_act_117,PRO Act,117,no,False,False
B001275,Bucshon,IN,R,house,08,pro_act_117,PRO Act,117,no,False,False
B001305,Budd,NC,R,house,13,pro_act_117,PRO Act,117,no,False,False
B001309,Burchett,TN,R,house,02,pro_act_117,PRO Act,117,no,False,False
B001248,Burgess,TX,R,house,26,pro_act_117,PRO Act,117,no,False,False
B001224,Bush,MO,D,house,01,pro_act_117,PRO Act,117,yes,True,False
B001286,Bustos,IL,D,house,17,pro_act_117,PRO Act,117,yes,True,False
B001251,Butterfield,NC,D,house,01,pro_act_117,PRO Act,117,yes,True,False
C000059,Calvert,CA,R,house,41,pro_act_117,PRO Act,117,no,False,False
C001039,Cammack,FL,R,house,03,pro_act_117,PRO Act,117,no,False,False
C001112,Carbajal,CA,D,house,24,pro_act_117,PRO Act,117,yes,True,False
C001097,CÃ¡rdenas,CA,D,house,29,pro_act_117,PRO Act,117,yes,True,False
C001054,Carl,AL,R,house,01,pro_act_117,PRO Act,117,no,False,False
C001072,Carson,IN,D,house,07,pro_act_117,PRO Act,117,yes,True,False
C001103,Carter (GA),GA,R,house,01,pro_act_117,PRO Act,117,no,False,False
C001051,Carter (TX),TX,R,house,31,pro_act_117,PRO Act,117,no,False,False
C001090,Cartwright,PA,D,house,08,pro_act_117,PRO Act,117,yes,True,False
C001055,Case,HI,D,house,01,pro_act_117,PRO Act,117,yes,True,False
C001117,Casten,IL,D,house,06,pro_act_117,PRO Act,117,yes,True,False
C001066,Castor (FL),FL,D,house,14,pro_act_117,PRO Act,117,yes,True,False
C001091,Castro (TX),TX,D,house,20,pro_act_117,PRO Act,117,yes,True,False
C001104,Cawthorn,NC,R,house,11,pro_act_117,PRO Act,117,no,False,False
C000266,Chabot,OH,R,house,01,pro_act_117,PRO Act,117,no,False,False
C001109,Cheney,WY,R,house,00,pro_act_117,PRO Act,117,no,False,False
C001080,Chu,CA,D,house,28,pro_act_117,PRO Act,117,yes,True,False
C001084,Cicilline,RI,D,house,01,pro_act_117,PRO Act,117,yes,True,False
C001101,Clark (MA),MA,D,house,05,pro_act_117,PRO Act,117,yes,True,False
C001067,Clarke (NY),NY,D,house,09,pro_act_117,PRO Act,117,yes,True,False
C001061,Cleaver,MO,D,house,05,pro_act_117,PRO Act,117,yes,True,False
C001118,Cline,VA,R,house,06,pro_act_117,PRO Act,117,no,False,False
C001115,Cloud,TX,R,house,27,pro_act_117,PRO Act,117,no,False,False
C000537,Clyburn,SC,D,house,06,pro_act_117,PRO Act,117,yes,True,False
C001116,Clyde,GA,R,house,09,pro_act_117,PRO Act,117,no,False,False
C001068,Cohen,TN,D,house,09,pro_act_117,PRO Act,117,yes,True,False
C001053,Cole,OK,R,house,04,pro_act_117,PRO Act,117,no,False,False
C001108,Comer,KY,R,house,01,pro_act_117,PRO Act,117,no,False,False
C001078,Connolly,VA,D,house,11,pro_act_117,PRO Act,117,yes,True,False
C000754,Cooper,TN,D,house,05,pro_act_117,PRO Act,117,yes,True,False
C001110,Correa,CA,D,house,46,pro_act_117,PRO Act,117,yes,True,False
C001059,Costa,CA,D,house,21,pro_act_117,PRO Act,117,yes,True,False
C001069,Courtney,CT,D,house,02,pro_act_117,PRO Act,117,yes,True,False
C001119,Craig,MN,D,house,02,pro_act_117,PRO Act,117,yes,True,False
C001087,Crawford,AR,R,house,01,pro_act_117,PRO Act,117,no,False,False
C001120,Crenshaw,TX,R,house,02,pro_act_117,PRO Act,117,no,False,False
C001111,Crist,FL,D,house,13,pro_act_117,PRO Act,117,yes,True,False
C001121,Crow,CO,D,house,06,pro_act_117,PRO Act,117,yes,True,False
C001063,Cuellar,TX,D,house,28,pro_act_117,PRO Act,117,no,False,False
C001114,Curtis,UT,R,house,03,pro_act_117,PRO Act,117,no,False,False
D000629,Davids (KS),KS,D,house,03,pro_act_117,PRO Act,117,yes,True,False
D000626,Davidson,OH,R,house,08,pro_act_117,PRO Act,117,no,False,False
D000096,"Davis, Danny K.",IL,D,house,07,pro_act_117,PRO Act,117,yes,True,False
D000619,"Davis, Rodney",IL,R,house,13,pro_act_117,PRO Act,117,no,False,False
