bioguide_id,name,state,party,chamber,district,key_vote_score,ideology_score,inverse_ideology_score,p2_combined,coverage_type
S390,Chris Van Hollen,MD,D,senate,,1.0,0.11438400622368101,0.8856159937763189,0.954246,both
H001052,Andy Harris,MD,R,house,1,0.0,0.7750350172582029,0.2249649827417971,0.089986,both
H000874,Steny H. Hoyer,MD,D,house,5,1.0,0.3278646319476343,0.6721353680523656,0.868854,both
M000687,Kweisi Mfume,MD,D,house,7,1.0,0.20719734356402597,0.792802656435974,0.917121,both
R000606,Jamie Raskin,MD,D,house,8,1.0,0.17226003735646653,0.8277399626435334,0.931096,both
S363,Angus King,ME,I,senate,,0.5,0.3754620415134013,0.6245379584865987,0.549815,both
G000592,Jared F. Golden,ME,D,house,2,1.0,0.5262393675756533,0.47376063242434674,0.789504,both
P000597,Chellie Pingree,ME,D,house,1,1.0,0.22520805733599664,0.7747919426640033,0.909917,both
S252,Susan Collins,ME,R,senate,,0.0,0.5207022260619125,0.4792977739380875,0.191719,both
B001301,Jack Bergman,MI,R,house,1,0.0,0.6932399468244859,0.30676005317551414,0.122704,both
D000624,Debbie Dingell,MI,D,house,6,1.0,0.27242535537350526,0.7275746446264948,0.89103,both
S380,Gary Peters,MI,D,senate,,1.0,0.49814309162213644,0.5018569083778636,0.800743,both
H001058,Bill Huizenga,MI,R,house,4,0.0,0.6758521110894836,0.3241478889105164,0.129659,both
M001136,Lisa C. McClain,MI,R,house,9,0.0,0.6415425906035084,0.3584574093964916,0.143383,both
M001194,John R. Moolenaar,MI,R,house,2,0.0,0.8179772618684189,0.1820227381315811,0.072809,both
S001208,Elissa Slotkin,MI,D,senate,,1.0,0.4607946382337277,0.5392053617662723,0.815682,both
S001215,Haley M. Stevens,MI,D,house,11,1.0,0.2883200192578342,0.7116799807421659,0.884672,both
T000481,Rashida Tlaib,MI,D,house,12,1.0,0.05747866510730909,0.9425213348926909,0.977009,both
W000798,Tim Walberg,MI,R,house,5,0.0,0.6624542296256881,0.3375457703743119,0.135018,both
S311,Amy Klobuchar,MN,D,senate,,1.0,0.2350754895880532,0.7649245104119469,0.90597,both
C001119,Angie Craig,MN,D,house,2,1.0,0.38584332483314027,0.6141566751668597,0.845663,both
E000294,Tom Emmer,MN,R,house,6,0.5,0.6150259414802676,0.38497405851973243,0.45399,both
F000470,Michelle Fischbach,MN,R,house,7,0.0,0.6964984255382962,0.3035015744617038,0.121401,both
M001143,Betty McCollum,MN,D,house,4,1.0,0.1951280890115289,0.8048719109884711,0.921949,both
O000173,Ilhan Omar,MN,D,house,5,1.0,0.13023584447156597,0.869764155528434,0.947906,both
S001212,Pete Stauber,MN,R,house,8,0.5,0.7600615185307125,0.23993848146928753,0.395975,both
S394,Tina Smith,MN,D,senate,,1.0,0.16468522420547677,0.8353147757945232,0.934126,both
C001061,Emanuel Cleaver,MO,D,house,5,1.0,0.20302387801997487,0.7969761219800251,0.91879,both
G000546,Sam Graves,MO,R,house,6,0.0,0.596178636506061,0.40382136349393905,0.161529,both
S399,Josh Hawley,MO,R,senate,,0.0,0.8516405923280449,0.1483594076719551,0.059344,both
S001195,Jason Smith,MO,R,house,8,0.0,0.5774009360500587,0.4225990639499413,0.16904,both
W000812,Ann Wagner,MO,R,house,2,0.0,0.6423634915051057,0.35763650849489426,0.143055,both
S395,Cindy Hyde-Smith,MS,R,senate,,0.0,0.8856807609909086,0.11431923900909136,0.045728,both
G000591,Michael Guest,MS,R,house,3,0.0,0.8151672647959584,0.18483273520404164,0.073933,both
K000388,Trent Kelly,MS,R,house,1,0.0,0.6733086602315987,0.32669133976840126,0.130677,both
S318,Roger Wicker,MS,R,senate,,0.0,0.8051387869161063,0.1948612130838937,0.077944,both
T000193,Bennie G. Thompson,MS,D,house,2,1.0,0.22075100630215128,0.7792489936978487,0.9117,both
